bench_ipc_monad
101806
108677
102811
105369
100846
107092
107571
109713
107672
105366
101755
100883
100586
103674
102653
104410
104733
103332
103852
106565
101679
103046
103835
104786
100786
103418
103515
104483
101570
102399
99677
100391
103515
106074
104953
106559
102796
103008
102497
101564
104542
