bench_monadP
89511
89381
87491
89318
88220
88563
89434
88756
87079
89581
88662
85344
89739
88185
88946
88916
88603
89285
89481
86884
88669
88836
87601
86179
90681
90903
85987
88192
89324
88847
88227
92301
89836
89108
90024
89549
88549
88876
91331
90777
89498
