bench2N
67426
68189
67937
68775
68251
67729
67477
67140
68173
68102
67273
67987
68089
68031
69121
68830
67652
68111
68816
65929
67328
67218
68412
68182
67960
68633
67877
67258
68667
67864
68964
68700
67998
67924
68631
67286
67937
67845
67932
67740
67672
