bench2_soS
63732
64512
64585
64218
64145
64253
64481
63883
64916
63618
63501
62626
64022
64223
64165
65492
64193
64867
64965
63121
63647
64674
64318
63943
65227
64235
64421
63728
64566
64332
62913
64428
64859
62399
64465
63783
63658
63820
63993
64223
63075
