bench_monad
62235
47766
54760
52547
50825
60246
45231
51876
46995
47643
39625
54445
48243
51043
44806
51956
49779
56635
56734
55805
54975
55313
51431
53461
47016
58251
51280
38917
47026
56402
55307
57557
60905
42245
52990
54729
54454
59795
47991
48220
43057
53128
59890
52300
58385
56325
54803
45399
44740
56262
54965
57282
53791
51582
52818
47117
53279
49461
51309
52356
48751
60800
52682
60953
60079
52045
53079
56120
52971
57574
53716
55555
45206
51659
60525
56433
61113
52582
58652
52089
57928
44419
55336
53431
59247
60502
48022
49909
60518
48976
59139
57769
50995
52914
55423
51604
55285
53496
51971
35133
42492
55725
54727
53265
56706
52669
53263
59172
46959
56447
49089
47205
44948
56013
53720
56033
51652
49705
52654
52999
47412
50365
49077
59876
55534
46500
52687
52373
41736
50128
56761
52109
58930
55230
59119
50516
55153
53234
44830
44186
55256
49943
54718
51127
47379
50602
50837
49865
58970
52153
55367
59062
60595
51611
49366
52156
53761
58889
55002
55310
46446
41867
57525
52567
52390
50289
55006
50558
47932
42997
48616
55919
56717
49227
50302
58279
56848
58221
54235
59103
56825
54269
53366
50636
62551
53819
60445
54996
54682
54193
52500
53251
50803
50797
55536
46505
48618
53487
52044
55863
56246
59595
42908
50055
44418
54475
50263
40027
59763
50916
56168
43943
61563
56104
50587
51569
53880
49263
56304
58031
58138
53502
56092
54820
48670
55045
51261
47860
57547
55855
46186
46767
63802
61656
52486
54962
64539
59437
59645
56885
54668
55971
56307
58642
55980
58406
60095
60919
53909
56271
54256
53732
46353
55216
52745
53661
48927
48402
59457
57600
52648
52153
47135
51521
50746
54454
57559
54530
50699
57935
46675
48114
53597
33584
59597
52476
52066
59546
52094
56366
53249
52604
53646
54738
57770
46525
55286
46407
50143
44630
54875
45030
53930
53081
61891
43654
47814
48658
55912
43269
53890
55000
57250
55857
44463
51215
43459
47264
56811
57494
53909
60840
55688
54524
46305
54787
53503
59498
48262
54136
55182
58491
53519
53360
47737
52309
48086
51835
55512
58674
47022
51771
53738
50532
55654
52213
50822
59635
44563
51022
55602
49600
48655
41154
43756
51774
47442
41929
61613
55176
56448
56271
41829
55546
53345
49712
51093
54184
44552
56983
50600
50333
56825
46832
