bench_ipcN
119551
122872
99043
94455
111475
113802
89779
105011
84070
90395
90209
93435
86697
95523
112394
95059
78884
95290
89290
89154
112614
107155
70796
94353
89103
85410
101346
88956
98407
97342
92257
106553
100553
104717
88395
89706
99985
70440
93832
94955
93616
112986
111869
130534
95402
84810
106706
89226
89591
95518
87799
128401
99060
106089
97701
92525
101885
110976
76986
85724
96076
80441
111229
120484
111825
111098
103241
124212
106184
113176
117572
101033
92755
101279
87726
98292
76947
93500
93680
105043
103262
89584
101340
77599
98371
131335
76277
104190
99164
93319
65192
79730
92756
81146
86719
122328
92526
105134
100723
105875
78568
