bench_monadP
95366
137335
119931
127606
98561
89471
99850
78197
84521
86681
98017
89873
90480
118990
135284
107678
78230
99835
87864
140300
131994
132712
120151
117574
92875
104656
107377
83785
100646
128637
130051
107357
83929
86573
136567
139036
99407
131606
89741
82529
90708
90128
89924
97504
113389
128927
100698
67916
75454
98917
128542
103233
100751
94276
98206
89030
87896
90052
108713
106717
87827
133717
116154
105957
109547
120752
118059
128141
135458
115931
127912
123158
87102
128272
118942
84156
129153
105756
110537
74984
65018
88702
122993
76274
73990
128730
90541
115223
103924
97483
80437
114632
122265
129779
83681
132917
92448
87211
80478
133493
103303
