bench2NA
161250
156652
183729
172726
156785
186632
162672
164125
179447
131096
160894
175693
159617
136366
138194
151858
130603
172040
172538
163395
156434
176719
152933
177169
167764
167240
166279
187672
146123
134878
161211
189343
163143
183578
171427
176509
165602
158135
153917
149975
139210
178735
162673
178986
174856
186067
137492
165512
142271
174789
130858
184004
175143
190701
161332
183155
158152
186134
171171
171870
196965
199601
173138
161554
185223
152862
185903
177146
164104
168823
187931
184816
180831
160922
175872
163425
172839
158046
184866
154467
162987
174217
170178
137600
183764
180188
183695
167594
145590
174859
165175
178573
173499
136562
159720
151396
141751
184249
153729
153974
146334
