bench_ipcZ
77545
123387
79225
89607
90885
108736
88066
90584
99907
84628
67133
65179
89241
87009
87721
66134
86026
73456
114098
103922
111614
116465
99724
84369
76195
99492
100578
128247
70373
87115
57864
126711
73165
84251
134640
85919
66908
126649
119870
122119
94738
77152
87361
69190
81213
77400
89172
99092
86268
91576
75011
65028
86417
60579
86360
76352
138156
131421
138325
84295
97758
90533
114365
138379
116619
104304
117223
129631
125920
109308
109716
87307
107566
131549
106552
105387
118822
78401
76428
92732
103231
62891
67457
98455
81761
85206
68166
97181
94558
63513
86321
98734
103693
113055
80514
130835
74657
83119
145823
115384
144786
