bench_ipc_so
99074
87667
75717
94879
86448
85337
86390
94641
94526
72125
72166
92805
92205
86694
93585
83496
97159
89288
97103
83274
92600
90715
87284
91462
95882
92085
86584
93093
91511
85003
87118
86571
95304
84909
93745
94122
98277
88406
81032
92632
88995
91343
75504
74819
72612
79440
83382
78330
85733
71134
95727
87625
79943
87730
84705
87389
90013
86900
92368
84522
86222
87369
89031
87982
91068
94907
86372
81321
92885
89745
89858
89668
87359
86472
82786
91820
94419
92703
88922
71452
94959
97452
77528
96565
96437
91931
79707
93745
88615
80241
93906
87335
81836
87641
85340
84760
88532
82201
85933
89154
66571
