bench2_soA
144130
163968
155990
195768
195073
146220
181892
159055
180364
148146
160736
154428
160784
188338
166739
180050
146459
180827
159169
180110
172865
197599
178931
199013
145766
146742
179461
167146
170187
144326
181726
177037
191829
166603
177855
179729
191769
183987
145949
187543
170387
161266
151624
195385
155267
150343
143280
155080
153789
160070
166424
176258
157139
183317
178696
153999
180050
167833
132145
194161
176978
185407
183242
169610
169678
163842
166696
182019
171599
133946
169661
144750
180315
166143
196731
187940
195502
140580
147782
171201
149231
153507
180427
167439
163575
191328
174156
181726
171817
154114
183052
191667
142760
179369
160673
161514
155088
170688
190099
176959
178057
