benchZP
91458
125375
73634
61298
65616
108805
87946
58664
66744
110357
82050
128518
89656
94999
86933
130921
108130
118750
96223
98050
79671
78182
104036
88152
100768
103371
99139
63675
77080
105969
108515
83792
117725
98699
120528
86803
79637
136006
87551
98451
84621
56928
82350
69445
77976
88892
99581
79059
88231
90529
83189
90003
83762
62084
89489
85562
88189
100937
92076
96550
95388
121499
118840
113156
106889
123129
134506
129467
100532
111901
87459
89964
96621
105055
109356
98852
142329
114578
92129
82652
68293
110662
119652
83881
113336
130363
133733
131773
107032
100735
103378
53456
86404
91300
144622
119936
105503
58382
72428
140626
103445
