bench2_soS
46912
46582
51496
49529
51086
48285
44426
70273
51366
54088
49088
43101
46474
50386
71302
48414
51555
47240
47847
55177
55916
50496
49815
50690
62994
53205
49196
55582
51657
51200
54207
53445
56362
47622
50165
52809
51654
53294
49460
49927
55689
48567
45659
52956
53127
50317
47494
46800
47133
54003
58930
44260
47589
66036
45695
50855
49812
52890
49212
46276
49877
55383
61305
56992
59822
67549
64488
67022
56786
51517
52292
51135
45967
48931
43064
51249
49279
46724
49769
45509
42230
46604
49685
51652
52047
65091
58672
42824
50089
51104
48053
46870
48674
43413
46019
49722
51472
50921
50167
58186
48828
