bench_ipc_monad
102971
119156
81182
106735
83306
128646
90431
82775
84223
79012
107372
104228
104799
132819
93213
89214
126720
80923
89017
94304
71964
90647
70018
105900
86402
89340
80312
112021
112781
96177
107989
92529
93338
88545
97053
101187
125636
117862
87434
89469
109376
102983
93668
109852
82311
82955
78288
81962
95157
82930
87501
106314
105485
86089
85236
93396
89854
101062
80347
102823
94561
79367
105448
107898
90279
68258
67417
125333
89909
93809
116172
80108
83089
83299
80983
79029
94337
110603
77114
90749
122095
87521
107937
95075
103870
91277
109415
85616
86221
94641
112075
103198
104517
89236
85089
129784
102042
83328
74740
87591
88224
91381
86157
84086
82676
86191
91046
82742
87935
98279
105322
122755
101089
99400
93635
102839
105391
65894
61236
96437
86206
66613
72657
79893
108777
129935
93154
119776
90846
107791
106467
104416
105388
116836
112483
92953
113576
95285
133483
91413
114514
96357
126966
125650
99510
103080
70296
107562
134469
131163
84706
82072
126691
85645
86680
104020
100662
113738
112134
89968
91932
126284
84657
106377
88701
113643
99069
85089
94107
86502
121832
104582
101339
109700
96296
121702
102645
81852
95619
105454
94937
105085
85080
91962
130147
98650
94876
128016
107804
85358
96304
102211
104229
91928
73374
83491
92499
118412
106237
108574
80394
96938
