U
56395
59624
57677
55280
42362
54800
55701
54181
57619
61783
55142
53191
47811
53143
54467
55393
61124
52225
52788
52206
53228
55011
47882
61180
49951
49523
58214
51328
57625
61976
49575
54056
55090
54274
61168
57919
58607
54042
60724
51328
49527
58024
53759
60427
56313
60037
57053
52499
60655
54920
57202
54171
59336
56458
63489
56357
55536
56182
52871
53526
55722
39459
51302
52426
52592
57538
55171
64100
54053
53110
57855
50607
47543
60795
58699
56174
59834
51862
51976
60363
54804
57564
42981
43633
54721
54696
53769
53064
56047
59720
59525
55707
60006
59802
61038
55361
57662
55778
57672
51241
52704
60635
46917
48980
60200
57399
41385
50218
51755
55259
54878
63055
50915
52001
55043
41468
61963
48483
60321
62806
49184
52283
52925
51408
56378
52651
51317
49285
52138
53888
46888
59568
53065
44427
55289
63718
52058
60207
48259
60084
54384
62583
58667
50921
62401
49864
58869
60836
45994
56766
55974
54919
60552
57110
51529
55030
48778
54959
59794
37492
55596
48318
50287
49961
58682
50274
52455
50803
59279
56897
53331
54616
61387
54708
49121
59271
61178
45112
60459
57569
58498
50923
54349
54627
49845
53842
50163
61714
56658
50849
54336
59340
55388
57309
56246
60103
51303
57389
59201
58232
52248
53349
55985
62729
49965
54600
54291
54915
56387
56813
55082
61281
56697
47493
60683
50756
53992
52598
53658
60644
49678
49942
47297
56714
53524
53222
55522
58639
55973
56495
54935
57430
56469
57972
56180
55268
51874
48647
54036
57394
56092
60493
50840
56371
61415
59473
56836
60872
53384
59536
60454
59918
54619
56778
54660
59713
54518
48847
45357
63431
56656
56107
61008
57225
55266
57620
55526
51690
53066
50896
60765
44259
53096
62550
60910
57178
52983
55306
55404
56146
52822
45398
53882
51449
55939
51912
56090
58913
58900
43925
57793
57876
49405
54120
55869
54026
56326
53323
56259
60149
50426
50719
58374
59870
49060
41454
60497
53012
51418
60102
56786
55288
53754
56674
50535
53882
60637
50793
54107
48535
56416
50893
61021
55481
52339
51468
52029
58215
59129
52208
53481
42153
56529
55983
54696
56485
57965
54326
52985
51663
52482
56827
57726
47368
50789
52414
53075
57617
52608
52249
51970
60204
55337
50697
48749
59204
52965
62339
53598
55777
58886
41541
54872
57496
56563
57988
54542
45109
51086
55398
50625
58249
50844
47026
53435
54489
51862
56669
60356
51796
58000
53302
58307
48345
42086
55684
58594
57075
53322
57763
49032
55694
58712
58787
56332
63436
50642
46006
44624
52047
59205
53433
51181
55548
55935
53975
60195
45815
50347
54817
51707
47995
53114
53095
58219
47608
39713
50258
54692
53603
46723
55201
53092
44825
50218
55372
52743
54096
50741
49600
62457
56540
48017
60250
50745
40271
54398
55779
55120
55437
53548
50297
53698
58204
55998
54086
53807
48797
57185
62136
59280
62112
61802
40537
49455
50416
50980
50269
59367
53144
55421
52963
53630
43439
59524
60748
55762
50194
64684
55552
51464
52935
58642
47691
52052
52583
63208
57697
61515
50472
54197
55486
48314
55207
51333
51894
50523
58588
55772
57713
54435
56509
52876
46457
50484
59083
58485
55885
55353
39736
55517
59112
47439
46473
55912
50374
53342
55639
50771
48327
49393
42521
56814
53606
50854
49394
53481
53435
51447
50296
52714
58622
49102
55096
53722
57520
58916
57166
55843
54928
52724
55594
52840
59037
56384
55153
54590
54475
56670
58525
55223
53385
50788
51606
57065
56184
51935
54411
48851
62366
51378
55888
48655
51858
55788
60481
54738
53836
60626
53237
61887
50854
50926
50414
56204
43638
47125
53106
48341
46762
53734
55510
47342
52906
55765
59307
54859
53073
58778
57572
54967
58499
51470
51824
59561
53370
55010
56363
54937
61410
59669
50286
55367
43063
54913
53080
59046
54831
59240
60358
57752
42508
57397
54590
47668
50863
56084
55983
49474
36063
55305
56901
59868
54458
61293
54180
45462
47745
58715
60278
53752
60782
50541
54600
49361
45334
60734
42642
45492
59691
53963
50540
57431
55291
49523
59667
51288
60595
57197
51924
52641
48016
46087
55461
65056
46172
56040
59842
59675
56306
46743
60238
54784
56201
52995
53999
49881
53598
55744
49179
52682
57686
60972
61121
52488
47171
58878
47959
52294
60099
58855
56846
41407
59083
48184
50338
55679
57918
61981
59675
52906
50168
50745
53373
54099
50402
51577
50039
52156
58349
58531
51045
61280
49486
61327
45458
54937
58894
55291
48975
59438
55202
51600
46465
47813
59119
58597
48630
56703
47402
51405
45342
49303
60783
54586
53744
53171
36302
52937
55934
61718
63352
49576
51354
55842
47623
52358
49820
60260
52525
53500
59621
54826
43010
54872
55249
47758
53316
52483
54393
51772
61106
55683
54220
58846
57074
60429
62455
55192
57642
52638
52606
50597
56955
51722
57556
54770
55725
57200
52912
53915
56565
50834
57022
57297
57321
57082
53596
55253
49963
53649
56104
52167
52901
54508
53268
61708
59021
51302
52721
48385
48463
56250
55633
56799
59919
52429
57265
49359
53682
51993
51217
55301
52982
58417
59254
60782
45876
42359
54802
62297
59249
54691
56674
56307
56494
55450
57755
55009
61283
44746
52980
53389
38347
57638
52866
59147
54885
52391
54888
58722
53721
53176
56293
44572
56544
47510
51185
58686
55207
49581
58916
54289
54247
57100
52720
54951
51397
59285
57118
55521
41252
43508
51281
54212
52942
52881
55926
53525
56697
61579
53954
53760
53952
60144
45387
47612
51569
43976
54598
53529
60403
50888
52788
58794
50433
48841
50595
53197
59333
49553
51589
50364
53357
57346
44730
53856
47141
51928
59061
50168
50366
58140
53999
56715
60080
53321
58538
51099
58678
57072
49531
58638
59503
45993
51644
49395
50982
55126
48403
48823
55022
58901
49443
61022
51402
58693
48099
60260
55866
54949
51151
49718
54310
54247
61038
58739
51322
49420
56192
62855
59248
57889
55610
53449
54342
60231
55429
47969
53813
59644
60237
56249
58989
46345
56946
60301
56327
57924
52124
61605
37692
61591
54068
49606
55502
54473
52899
49970
52967
53643
53910
60926
48236
62243
54392
53648
43530
56639
60372
61531
51945
50745
48953
56172
49512
57462
56035
51941
57367
56526
57804
52190
54690
58738
60983
55156
60132
52238
50867
56211
45199
52922
47937
59213
49413
48690
61877
57774
58410
57162
57696
46831
58214
53037
58156
53719
52638
54892
51469
