bench_so
53704
49269
54336
46538
57567
62113
61662
53375
52325
46037
47692
40180
54392
50754
55141
52552
52788
54117
53024
47778
49254
49364
53302
44559
43735
52384
54407
61432
48337
64006
60078
51843
57292
48544
54159
50949
61111
57686
52666
46631
47430
58782
46410
60630
41658
53276
63458
46012
50695
52851
52723
55295
47969
53767
65226
57563
57585
53746
44634
70785
63477
54858
55029
61203
57629
64155
61179
67817
70229
61446
62997
59072
47834
57609
63020
45916
59112
52645
61663
48778
44715
48889
50469
48796
52636
58410
49409
57317
70728
48450
54551
64040
58079
63333
55646
67639
47980
59611
57975
52771
52474
