bench2N
47020
55251
44459
60042
46123
53326
59480
49697
56040
51957
56527
47584
56956
49876
54773
49079
51479
49616
55225
65511
53018
58658
53364
55196
48151
51009
57685
57382
56323
57015
57735
49826
53455
48345
48401
48771
55369
43173
69004
59804
51899
40648
64437
72440
55271
49091
59061
61635
40428
47253
60157
48309
50401
55143
44185
69768
50715
52169
51545
56777
54310
43804
61373
55839
60145
64574
64453
62761
56094
56702
58958
51672
50769
55052
56462
55233
57423
61355
47427
52135
48537
47444
48980
48363
60591
64848
51920
60957
53062
50642
59408
48615
55783
56237
43754
48919
52153
61675
44660
52579
47144
