S
58527
54135
49416
37893
50815
52492
49180
56079
51090
47636
49219
47619
39341
53169
51875
46348
58173
51442
44368
49068
51935
54316
49528
52636
56688
48854
53843
52263
52482
47325
58097
53135
48798
45269
40567
44393
53765
44478
54164
54645
47636
51844
51915
54546
50789
43243
56471
52165
58133
49934
51677
57879
41382
48781
45832
45502
50025
46251
52114
55370
53675
54737
46282
54272
54237
55891
57108
53617
51740
54860
55527
49805
49636
54225
44663
51973
39570
39099
48916
46541
54577
37667
48317
40693
54753
50805
41179
47621
49493
52399
45915
53557
54164
51581
50086
43390
51786
37645
50553
54506
41568
46307
55041
51107
52064
50045
50611
56295
49167
49986
56739
48664
53941
52900
46779
49150
57866
57541
47995
57392
56871
51811
53166
53002
50715
45983
52002
52251
48695
45795
55029
51532
40384
49376
47526
55423
47474
53754
59268
49467
46547
56087
48170
54591
52418
46287
55293
55735
53224
46251
51393
46149
54057
48284
58546
49006
45406
43521
45465
56380
49405
52831
51467
51681
54094
42893
53948
50683
45721
41055
45129
46475
43450
47654
52424
50331
52946
47390
45351
54723
51160
52891
49902
43759
46930
52305
46638
46418
49548
53449
51710
53158
53302
42854
51876
53071
44847
51747
51483
55096
47821
52946
48071
45438
49514
45796
56760
56561
48775
49296
55607
53722
48781
46402
45101
52234
47153
55581
49393
53303
52797
45248
58101
47034
52961
50467
53424
51816
49194
52296
41295
50785
51407
53442
41779
46292
45779
49878
47428
55629
50673
55719
52107
49118
42355
52431
47501
52675
53197
39852
52387
54281
53415
54159
52279
53137
40698
44717
42584
49137
49029
44567
51623
53831
56540
54110
51417
42805
52247
55051
46900
55125
48630
54803
46937
52394
51153
47956
48157
52416
49788
54287
50212
57386
48147
52923
46243
57719
54822
58416
51054
55312
50544
48599
50561
53914
56078
52820
53746
57701
56808
59467
53059
52787
48757
50331
55482
50738
43379
43663
49128
44961
57961
51933
53726
46493
53900
57425
52750
51121
53587
44281
51847
51189
47243
52137
51336
52960
45393
48400
52089
51850
51939
50351
57262
49930
46823
53890
46388
55354
49943
53589
49619
55776
52489
48344
53872
44396
52828
49425
40172
51474
52635
41281
55134
49599
53017
39459
52484
48431
57186
50535
47871
42200
49877
49364
54527
46845
45162
54534
52705
51065
49665
51964
44446
52876
48264
52665
49636
49476
44433
53112
48534
44374
50884
56451
49469
50240
53475
53968
53331
53956
48916
54584
55950
53554
46024
49510
48257
55268
49052
50255
53909
47442
51907
52066
48090
52998
53946
45676
49444
41068
53983
49461
53254
52078
46616
58381
46446
52132
45567
38010
53361
51443
48011
54559
46085
46217
52748
49122
55286
42538
52123
47021
56018
50583
47832
46076
50571
48058
47376
45935
51778
59126
54366
43437
49241
50873
49631
34350
56160
40750
50949
46112
51310
54723
50947
50498
44395
51409
53783
45600
49728
53078
44274
48547
52981
49451
52830
52394
47828
42818
50462
52787
46566
53298
49987
45772
50166
52150
51507
47479
50235
47577
49593
40095
55099
51240
51280
55203
49156
45059
49295
48554
53599
55835
49938
51524
51699
52215
46971
56723
56915
45223
47096
46605
52600
51803
52895
50452
47392
51402
49426
48282
52537
54554
50487
45207
51217
48132
57311
53064
48668
48279
54691
51929
45493
51739
53293
56358
54726
47385
50617
50475
55721
51680
44936
47008
41618
55327
48280
54959
51009
50992
51171
58295
53019
48858
48036
54595
56227
49421
52617
56481
52840
36194
49773
46699
52097
48973
54682
53974
49381
44824
44473
51910
46451
48541
43291
52951
50811
46587
52758
49588
59970
48263
58694
55408
54913
41927
50376
54909
56086
43628
48389
53428
49272
57173
53803
34839
53653
50927
51552
53960
57116
48721
50101
49097
53268
50988
52808
53769
51033
57154
53806
51764
53735
56719
53808
43805
55837
48902
52006
54284
52191
52901
50067
51837
50236
51983
43284
45760
50944
53172
50482
53123
53544
48955
46515
48055
43994
54488
59276
48077
53807
52470
49452
48032
52635
57324
46169
49722
48317
45852
53279
46766
50782
58044
42525
49854
49034
52097
48511
51265
55696
50353
49647
50877
49669
49851
50744
53934
50810
52861
51237
49627
51061
52404
46665
53010
46709
46770
45868
57056
43293
54019
45210
50961
40287
49057
51172
35484
53389
49954
49220
52311
53559
45525
52102
49337
53225
45267
48691
47304
51275
38759
37788
52965
49980
49223
51656
51858
53899
52333
53051
55123
48739
51001
48753
53108
52688
51416
52395
47988
49416
46767
51587
52728
49778
49433
47554
51931
37875
52802
49155
52658
57782
53939
50690
51105
52994
44108
46666
