benchN
67999
64484
48337
57254
53510
54083
50097
62272
66201
53595
69305
49928
62933
55838
56141
59466
59044
58741
65948
58196
60248
53162
65946
55117
61382
58944
66046
64495
64683
65860
56487
58803
55392
55622
59404
59744
53094
61143
53979
53860
69127
55117
58804
70600
58585
50322
53493
51665
54337
50433
53512
59947
50303
69936
59995
49956
56869
52466
56372
51702
55841
57456
-8
63182
55932
67024
58940
58926
61543
66112
67088
59221
48904
47629
54438
69278
52767
53416
50620
46075
53974
58200
54398
45936
59081
58884
51329
59801
51360
69231
52779
57370
52285
68129
41506
62319
63023
55451
53988
72305
54740
