benchZ
46310
48877
42156
42883
47235
43277
57162
46815
40786
45669
67721
49795
52335
54543
66306
46904
67326
60929
56558
51770
50258
50594
58099
46708
44171
60194
54437
39967
38396
47488
53843
62090
45727
47635
53870
54304
42385
55655
58781
50280
46448
39810
41659
51539
47715
60087
53321
65116
45138
56956
51891
42425
42913
47203
42165
49862
51467
61032
55280
51141
50979
61390
32795
62027
57307
58819
65324
67073
67778
63310
64927
49205
47651
61440
53801
53657
52291
46186
39199
44687
52387
62239
57313
51931
43629
42697
55835
65180
60096
52125
52628
43090
56989
62247
70896
55486
47877
50606
60423
62067
52684
