benchNP
88020
139808
90547
80688
115626
83328
121611
97658
78555
107195
142833
122431
91479
82664
110272
111574
72024
100937
89090
109295
95126
93030
88982
90009
92245
84788
135693
119607
87217
93693
95950
110327
109082
96827
125033
89975
109595
79981
83131
103178
133577
111460
120670
106425
103885
124554
92464
128494
107080
94419
96213
101784
87371
135867
133262
111463
81728
129417
137816
98600
131802
135569
116175
113339
96544
123951
129068
110414
79062
111408
100196
108297
102225
97880
100767
88214
88041
67461
118265
100628
93364
130400
98587
91460
104473
122552
101636
123521
132741
95416
127653
96130
100810
88139
127316
123480
125348
81663
82162
103085
98992
